id,tournament,tier,url,prizepool
662,Rusaoc Cup 123: Serengeti,Weekly (C-Tier),https://aoe-elo.com/tournament/662/Rusaoc-Cup-123--Serengeti,$119
633,The Holly Jolly Christmas Cup,B-Tier,https://aoe-elo.com/tournament/633/The-Holly-Jolly-Christmas-Cup,$775
649,Copa 3k Libertadores,A-Tier,https://aoe-elo.com/tournament/649/Copa-3k-Libertadores,$2840
650,Copa Amazonia 2,B-Tier,https://aoe-elo.com/tournament/650/Copa-Amazonia-2,N/A
656,Nili's Apartment Cup V Qualifier 2,Qualifier (S-Tier),https://aoe-elo.com/tournament/656/Nili-s-Apartment-Cup-V-Qualifier-2,$2505
635,Torneo de las 12 casas: Pisces,Monthly (C-Tier),https://aoe-elo.com/tournament/635/Torneo-de-las-12-casas--Pisces,$57
659,Rusaoc Cup 122: African Clearing,Weekly (C-Tier),https://aoe-elo.com/tournament/659/Rusaoc-Cup-122--African-Clearing,$133
634,Torneo de las 12 casas: Aquarius,Monthly (C-Tier),https://aoe-elo.com/tournament/634/Torneo-de-las-12-casas--Aquarius,$57
651,Nili's Apartment Cup V Qualifier 1,Qualifier (S-Tier),https://aoe-elo.com/tournament/651/Nili-s-Apartment-Cup-V-Qualifier-1,$2505
642,Outback Legends 2,B-Tier,https://aoe-elo.com/tournament/642/Outback-Legends-2,N/A
638,King of Poland 3,B-Tier,https://aoe-elo.com/tournament/638/King-of-Poland-3,$305
643,Taiwan Arena Clown Cup 3,B-Tier,https://aoe-elo.com/tournament/643/Taiwan-Arena-Clown-Cup-3,N/A
644,Cake Cup 3,B-Tier,https://aoe-elo.com/tournament/644/Cake-Cup-3,N/A
655,GB Hidden Cup 2,C-Tier,https://aoe-elo.com/tournament/655/GB-Hidden-Cup-2,$254
640,Copa 3k Libertadores Qualifier,Qualifier (A-Tier),https://aoe-elo.com/tournament/640/Copa-3k-Libertadores-Qualifier,N/A
641,EndoWar 4,NaN,https://aoe-elo.com/tournament/641/EndoWar-4,N/A
646,Cake Cup 3: Qualification,Qualifier (B-Tier),https://aoe-elo.com/tournament/646/Cake-Cup-3--Qualification,N/A
653,Rusaoc Cup 120: Reverse Arena,Weekly (C-Tier),https://aoe-elo.com/tournament/653/Rusaoc-Cup-120--Reverse-Arena,$112
647,LAN Combi CDMX - Nov 2023,NaN,https://aoe-elo.com/tournament/647/LAN-Combi-CDMX---Nov-2023,N/A
631,Warlords II,S-Tier,https://aoe-elo.com/tournament/631/Warlords-II,$50000
620,Torneo de las 12 casas: Capricorn,Monthly (C-Tier),https://aoe-elo.com/tournament/620/Torneo-de-las-12-casas--Capricorn,$57
637,Chilean Cup 2023,B-Tier,https://aoe-elo.com/tournament/637/Chilean-Cup-2023,N/A
639,The Map - Pablito Edition,Weekly (C-Tier),https://aoe-elo.com/tournament/639/The-Map---Pablito-Edition,N/A
652,Rusaoc Cup 119: Inundation,Weekly (C-Tier),https://aoe-elo.com/tournament/652/Rusaoc-Cup-119--Inundation,$190
622,Clash of the Titans II: Promo Invitational,Showmatch (Misc),https://aoe-elo.com/tournament/622/Clash-of-the-Titans-II--Promo-Invitational,N/A
614,EndorWar 4 Qualifier,NaN,https://aoe-elo.com/tournament/614/EndorWar-4-Qualifier,N/A
621,Circuito Latinoamericano de AOE2: Liga Fortaleza,C-Tier,https://aoe-elo.com/tournament/621/Circuito-Latinoamericano-de-AOE2--Liga-Fortaleza,$100
630,HalloWinners 2: Smashing PumpKings,B-Tier,https://aoe-elo.com/tournament/630/HalloWinners-2--Smashing-PumpKings,N/A
628,The Map - ThisDino Edition,Weekly (C-Tier),https://aoe-elo.com/tournament/628/The-Map---ThisDino-Edition,N/A
606,Blue Carbon Cup,C-Tier,https://aoe-elo.com/tournament/606/Blue-Carbon-Cup,$190
627,Warlords II Qualifier 2,NaN,https://aoe-elo.com/tournament/627/Warlords-II-Qualifier-2,N/A
611,ChampionSheep,B-Tier,https://aoe-elo.com/tournament/611/ChampionSheep,N/A
632,Inversus Cup,B-Tier,https://aoe-elo.com/tournament/632/Inversus-Cup,$536
648,Rusaoc Cup 118: Arena,Weekly (C-Tier),https://aoe-elo.com/tournament/648/Rusaoc-Cup-118--Arena,$97
624,Warlords Waiting Room,B-Tier,https://aoe-elo.com/tournament/624/Warlords-Waiting-Room,$6000
625,The Map - Quin Daizier Edition,Weekly (C-Tier),https://aoe-elo.com/tournament/625/The-Map---Quin-Daizier-Edition,N/A
592,Nomad Wars League - Season 4,NaN,https://aoe-elo.com/tournament/592/Nomad-Wars-League---Season-4,N/A
623,Warlords II Qualifier 1,Qualifier (S-Tier),https://aoe-elo.com/tournament/623/Warlords-II-Qualifier-1,N/A
626,Cake Cup 3: Wildcard,Qualifier (B-Tier),https://aoe-elo.com/tournament/626/Cake-Cup-3--Wildcard,N/A
599,MetaWorldTour,B-Tier,https://aoe-elo.com/tournament/599/MetaWorldTour,N/A
604,T90 Titans League 3: Platinum League,S-Tier,https://aoe-elo.com/tournament/604/T90-Titans-League-3--Platinum-League,$17300
607,Torneo de las 12 casas: Sagittarius,Monthly (C-Tier),https://aoe-elo.com/tournament/607/Torneo-de-las-12-casas--Sagittarius,$46
605,Hera's Colosseum - TTL3 Edition,NaN,https://aoe-elo.com/tournament/605/Hera-s-Colosseum---TTL3-Edition,$250
610,Championnat Francophone VII,C-Tier,https://aoe-elo.com/tournament/610/Championnat-Francophone-VII,N/A
629,digitec Playground Vol. 11,NaN,https://aoe-elo.com/tournament/629/digitec-Playground-Vol--11,N/A
619,The Map - Argh Edition,Weekly (C-Tier),https://aoe-elo.com/tournament/619/The-Map---Argh-Edition,$50
612,Coupe de France 2,B-Tier,https://aoe-elo.com/tournament/612/Coupe-de-France-2,$1000
615,Saint Hell League 2 - Diamond,NaN,https://aoe-elo.com/tournament/615/Saint-Hell-League-2---Diamond,N/A
618,The Map - Bl4ckito Edition,Weekly (C-Tier),https://aoe-elo.com/tournament/618/The-Map---Bl4ckito-Edition,$50
616,Saint Hell League 2 - Platinum A,NaN,https://aoe-elo.com/tournament/616/Saint-Hell-League-2---Platinum-A,N/A
580,KIT SC Plünderparty - Saison 7,C-Tier,https://aoe-elo.com/tournament/580/KIT-SC-Pl--nderparty---Saison-7,$93
598,Chipmunk King's League 2,B-Tier,https://aoe-elo.com/tournament/598/Chipmunk-King-s-League-2,$2632
613,the Newbie and the Beast (High),C-Tier,https://aoe-elo.com/tournament/613/the-Newbie-and-the-Beast--High-,$127
602,Crap Map Cup 2,C-Tier,https://aoe-elo.com/tournament/602/Crap-Map-Cup-2,$180
617,Rusaoc Cup 116: France,Weekly (C-Tier),https://aoe-elo.com/tournament/617/Rusaoc-Cup-116--France,$146
594,Torneo de las 12 casas: Scorpio,Monthly (C-Tier),https://aoe-elo.com/tournament/594/Torneo-de-las-12-casas--Scorpio,$57
608,the Newbie and the Beast (Mid),C-Tier,https://aoe-elo.com/tournament/608/the-Newbie-and-the-Beast--Mid-,$100
596,Clash of Empires,A-Tier,https://aoe-elo.com/tournament/596/Clash-of-Empires,$11000
609,Rusaoc Cup 115: HyperRandom,Weekly (C-Tier),https://aoe-elo.com/tournament/609/Rusaoc-Cup-115--HyperRandom,$139
590,T90 Titans League 3: Gold League,A-Tier,https://aoe-elo.com/tournament/590/T90-Titans-League-3--Gold-League,$5200
595,Circuito Latinoamericano de AOE2: Liga Mesopotamia,C-Tier,https://aoe-elo.com/tournament/595/Circuito-Latinoamericano-de-AOE2--Liga-Mesopotamia,$100
589,The Champions Invitational,B-Tier,https://aoe-elo.com/tournament/589/The-Champions-Invitational,N/A
587,Summer Classic Jab,NaN,https://aoe-elo.com/tournament/587/Summer-Classic-Jab,$225
582,Masters of Arena 7: Silver League,C-Tier,https://aoe-elo.com/tournament/582/Masters-of-Arena-7--Silver-League,$170
591,MetaWorldTour: Qualifier 2,Qualifier (B-Tier),https://aoe-elo.com/tournament/591/MetaWorldTour--Qualifier-2,N/A
581,Torneo de las 12 casas: Libra,Monthly (C-Tier),https://aoe-elo.com/tournament/581/Torneo-de-las-12-casas--Libra,$61
593,Danmarksmesterskaberne 2023,C-Tier,https://aoe-elo.com/tournament/593/Danmarksmesterskaberne-2023,$81
597,Rusaoc Cup 113: Land Nomad,Weekly (C-Tier),https://aoe-elo.com/tournament/597/Rusaoc-Cup-113--Land-Nomad,$111
584,Clash of Empires: Qualifier,Qualifier (A-Tier),https://aoe-elo.com/tournament/584/Clash-of-Empires--Qualifier,N/A
585,MetaWorldTour: Qualifier 1,Qualifier (B-Tier),https://aoe-elo.com/tournament/585/MetaWorldTour--Qualifier-1,N/A
579,T90 Titans League 2: Silver League,Qualifier (A-Tier),https://aoe-elo.com/tournament/579/T90-Titans-League-2--Silver-League,N/A
583,GoKu's Invitational,B-Tier,https://aoe-elo.com/tournament/583/GoKu-s-Invitational,$478
586,XEVER Cup,C-Tier,https://aoe-elo.com/tournament/586/XEVER-Cup,$557
588,Rusaoc Cup 112: Fortress,Weekly (C-Tier),https://aoe-elo.com/tournament/588/Rusaoc-Cup-112--Fortress,$120
577,Copa Aconcagua 2,B-Tier,https://aoe-elo.com/tournament/577/Copa-Aconcagua-2,$300
562,Return of Reverse Pick,B-Tier,https://aoe-elo.com/tournament/562/Return-of-Reverse-Pick,$338
574,Torneo de las 12 casas: Virgo,Monthly (C-Tier),https://aoe-elo.com/tournament/574/Torneo-de-las-12-casas--Virgo,$63
578,Pelea de Gallos,C-Tier,https://aoe-elo.com/tournament/578/Pelea-de-Gallos,$139
566,Masters of Arena 7,A-Tier,https://aoe-elo.com/tournament/566/Masters-of-Arena-7,$10000
569,Cake Cup 2,B-Tier,https://aoe-elo.com/tournament/569/Cake-Cup-2,$322
573,Copa Supremacía 2,B-Tier,https://aoe-elo.com/tournament/573/Copa-Supremac--a-2,$900
576,Clash of Anatolia 3,B-Tier,https://aoe-elo.com/tournament/576/Clash-of-Anatolia-3,$1865
575,Pablito's Invitational,B-Tier,https://aoe-elo.com/tournament/575/Pablito-s-Invitational,$710
563,AoE2 Admirals League 2,A-Tier,https://aoe-elo.com/tournament/563/AoE2-Admirals-League-2,$2000
558,Torneo de las 12 casas: Leo,NaN,https://aoe-elo.com/tournament/558/Torneo-de-las-12-casas--Leo,N/A
550,Pick Your Poison,C-Tier,https://aoe-elo.com/tournament/550/Pick-Your-Poison,$50
572,Rusaoc Cup 109: Haboob,Weekly (C-Tier),https://aoe-elo.com/tournament/572/Rusaoc-Cup-109--Haboob,$107
570,Forestandon Cup,C-Tier,https://aoe-elo.com/tournament/570/Forestandon-Cup,$81
564,Masters of Arena 7 Qualifier,A-Tier,https://aoe-elo.com/tournament/564/Masters-of-Arena-7-Qualifier,N/A
571,Valhalla Cup 2,C-Tier,https://aoe-elo.com/tournament/571/Valhalla-Cup-2,$150
568,Road to Cake Cup 2: Madness on Nomad,Qualifier (B-Tier),https://aoe-elo.com/tournament/568/Road-to-Cake-Cup-2--Madness-on-Nomad,N/A
548,Circuito Latinoamericano de AOE2: Liga Desierto,C-Tier,https://aoe-elo.com/tournament/548/Circuito-Latinoamericano-de-AOE2--Liga-Desierto,$100
537,KIT SC Plünderparty - Saison 6,C-Tier,https://aoe-elo.com/tournament/537/KIT-SC-Pl--nderparty---Saison-6,$90
561,King of the Desert 5,S-Tier,https://aoe-elo.com/tournament/561/King-of-the-Desert-5,$80000
567,Road to Cake Cup 2: Rage in Socotra,Qualifier (B-Tier),https://aoe-elo.com/tournament/567/Road-to-Cake-Cup-2--Rage-in-Socotra,N/A
545,ArgenLeague,NaN,https://aoe-elo.com/tournament/545/ArgenLeague,$357
