name,id,tournament_id,date,prizepool,Knockout_stage,Knockout_stage_importance,player_1_id,player_1_name,elo_player_1,score_1,player_2_id,player_2_name,elo_player_2,score_2
Hidden Cup 2,1323,88,2019-04-13,10200.0,Quarter-Finals,2,29,TheViper,2346,3,35,vivi,2080,0
Hidden Cup 3,2896,163,2020-03-21,50228.0,Quarter-Finals,2,25,Liereyy,2184,2,31,TaToH,2190,3
Hidden Cup 3,2897,163,2020-03-21,50228.0,Quarter-Finals,2,1,DauT,2142,2,28,Hera,2213,3
Hidden Cup 3,2898,163,2020-03-21,50228.0,Quarter-Finals,2,29,TheViper,2276,3,19,Yo,2211,1
Hidden Cup 3,2899,163,2020-03-21,50228.0,Quarter-Finals,2,24,MbL,2176,2,4,dogao,2082,3
Hidden Cup 4,4764,253,2021-03-20,87240.0,Quarter-Finals,2,14,ACCM,2163,1,30,JorDan_23,2149,3
Hidden Cup 4,4765,253,2021-03-20,87240.0,Quarter-Finals,2,19,Yo,2247,3,1,DauT,2217,1
Hidden Cup 4,4766,253,2021-03-20,87240.0,Quarter-Finals,2,29,TheViper,2302,3,16,BacT,2174,0
Hidden Cup 4,4767,253,2021-03-20,87240.0,Quarter-Finals,2,28,Hera,2258,3,25,Liereyy,2266,1
Hidden Cup Italia,5233,284,2021-05-08,947.0,Quarter-Finals,2,129,Vodka_L,2078,3,987,Italian_Meme,1900,0
Hidden Cup Italia,5234,284,2021-05-08,947.0,Quarter-Finals,2,754,Shades,1989,1,503,pete_martell,1986,3
Hidden Cup Italia,5235,284,2021-05-08,947.0,Quarter-Finals,2,446,Kamigawa,1983,3,988,Sir_Hellequinn,2000,0
Hidden Cup Italia,5236,284,2021-05-08,947.0,Quarter-Finals,2,619,Rise,1952,3,989,Zuccolo,2000,0
GB Hidden Cup 2,12947,655,2023-11-22,254.0,Quarter-Finals,2,801,steakmaster,1982,2,1060,King_Boo,1960,3
GB Hidden Cup 2,12948,655,2023-11-23,254.0,Quarter-Finals,2,613,_hallis,2034,3,1123,dave_hun,1975,2
GB Hidden Cup 2,12949,655,2023-11-24,254.0,Quarter-Finals,2,166,Fayt,1993,0,753,darvoi,1925,3
GB Hidden Cup 2,12950,655,2023-11-26,254.0,Quarter-Finals,2,1093,Ted,2011,3,1185,Aristocats,1896,1
Road to Hidden Cup Italia - Autunno,12955,657,2023-12-10,154.0,Quarter-Finals,2,446,Kamigawa,1977,3,989,Zuccolo,1954,0
Road to Hidden Cup Italia - Autunno,12956,657,2023-12-05,154.0,Quarter-Finals,2,129,Vodka_L,2116,3,1604,The_Italian_Lawyer,1900,0
Road to Hidden Cup Italia - Autunno,12957,657,2023-12-07,154.0,Quarter-Finals,2,503,pete_martell,1989,0,1183,salsicciotto1999,1992,3
Road to Hidden Cup Italia - Autunno,12958,657,2023-12-08,154.0,Quarter-Finals,2,1229,Mettiu,1959,0,454,RaiD,1952,0
Hidden Cup 5,13348,674,2024-02-29,70624.0,Quarter-Finals,2,28,Hera,2515,4,30,JorDan_23,2397,0
Hidden Cup 5,13349,674,2024-02-29,70624.0,Quarter-Finals,2,24,MbL,2297,2,14,ACCM,2373,4
Hidden Cup 5,13350,674,2024-03-01,70624.0,Quarter-Finals,2,1,DauT,2389,2,29,TheViper,2461,4
Hidden Cup 5,13351,674,2024-03-01,70624.0,Quarter-Finals,2,12,Sitaux,2334,1,25,Liereyy,2370,4
Hidden Cup Türkiye,13546,689,2024-03-26,2316.0,Quarter-Finals,2,195,Kasva,2081,4,1639,BoomcuMülayim,1900,0
Hidden Cup Türkiye,13547,689,2024-03-27,2316.0,Quarter-Finals,2,723,ronotovi,1950,4,765,GLX_Rusher,1961,1
Hidden Cup Türkiye,13548,689,2024-03-26,2316.0,Quarter-Finals,2,900,Ubetnir,1936,2,886,Dr.Kozmonot,2038,4
Hidden Cup Türkiye,13549,689,2024-03-27,2316.0,Quarter-Finals,2,1327,Hackali,1858,1,983,SonyToprano,1983,4
Hidden Cup,230,7,,1440.0,Semi-Finals,3,2,miguel,2010,0,29,TheViper,2296,3
Hidden Cup,231,7,,1440.0,Semi-Finals,3,24,MbL,2170,3,32,slam,2051,1
Hidden Cup 2,1324,88,2019-04-14,10200.0,Semi-Finals,3,52,TheMax,2053,3,33,Tim,2073,1
Hidden Cup 2,1325,88,2019-04-14,10200.0,Semi-Finals,3,24,MbL,2203,1,29,TheViper,2349,3
Hidden Cup 3,2900,163,2020-03-22,50228.0,Semi-Finals,3,31,TaToH,2194,1,28,Hera,2212,4
Hidden Cup 3,2901,163,2020-03-22,50228.0,Semi-Finals,3,29,TheViper,2280,4,4,dogao,2091,1
Hidden Cup 4,4768,253,2021-03-21,87240.0,Semi-Finals,3,30,JorDan_23,2157,4,19,Yo,2255,1
Hidden Cup 4,4769,253,2021-03-21,87240.0,Semi-Finals,3,29,TheViper,2311,3,28,Hera,2266,4
Hidden Cup Italia,5237,284,2021-05-16,947.0,Semi-Finals,3,129,Vodka_L,2093,3,503,pete_martell,1994,1
Hidden Cup Italia,5238,284,2021-05-15,947.0,Semi-Finals,3,446,Kamigawa,1995,2,619,Rise,1967,3
GB Hidden Cup 2,12951,655,2023-11-28,254.0,Semi-Finals,3,1060,King_Boo,1964,3,613,_hallis,2033,4
