name,id,tournament_id,date,prizepool,Knockout_stage,Knockout_stage_importance,player_1_id,player_1_name,elo_player_1,score_1,player_2_id,player_2_name,elo_player_2,score_2
T90 Titans League: Platinum League,8338,24,2022-08-06,17300.0,Quarter-Finals,2,28,Hera,2352,3,30,JorDan_23,2304,1
Red Bull Wololo: Legacy 2022,9053,489,2022-10-23,200000.0,Quarter-Finals,2,31,TaToH,2341,3,30,JorDan_23,2282,2
Red Bull Wololo: Legacy 2022,9054,489,2022-10-23,200000.0,Quarter-Finals,2,51,Villese,2325,3,19,Yo,2333,1
Red Bull Wololo: Legacy 2022,9055,489,2022-10-23,200000.0,Quarter-Finals,2,29,TheViper,2334,1,25,Liereyy,2323,3
Red Bull Wololo: Legacy 2022,9056,489,2022-10-23,200000.0,Quarter-Finals,2,28,Hera,2356,3,24,MbL,2273,0
Warlords,9274,497,2022-11-24,30000.0,Quarter-Finals,2,28,Hera,2369,4,14,ACCM,2336,3
Warlords,9275,497,2022-11-24,30000.0,Quarter-Finals,2,55,Vinchester,2314,4,51,Villese,2329,1
Warlords,9280,497,2022-11-25,30000.0,Quarter-Finals,2,25,Liereyy,2352,4,27,Nicov,2310,1
Warlords,9281,497,2022-11-25,30000.0,Quarter-Finals,2,29,TheViper,2330,4,19,Yo,2333,3
The Grand Melee,9481,507,2022-12-15,100000.0,Quarter-Finals,2,31,TaToH,2357,3,51,Villese,2333,2
The Grand Melee,9482,507,2022-12-15,100000.0,Quarter-Finals,2,29,TheViper,2356,3,14,ACCM,2344,1
The Grand Melee,9483,507,2022-12-15,100000.0,Quarter-Finals,2,28,Hera,2387,3,30,JorDan_23,2269,2
The Grand Melee,9497,507,2022-12-15,100000.0,Quarter-Finals,2,25,Liereyy,2364,3,1,DauT,2278,2
T90 Titans League 2: Platinum League,9780,513,2023-02-09,17300.0,Quarter-Finals,2,19,Yo,2337,2,31,TaToH,2349,3
T90 Titans League 2: Platinum League,9797,513,2023-02-09,17300.0,Quarter-Finals,2,29,TheViper,2371,3,30,JorDan_23,2274,2
T90 Titans League 2: Platinum League,9799,513,2023-02-10,17300.0,Quarter-Finals,2,14,ACCM,2383,2,25,Liereyy,2350,3
T90 Titans League 2: Platinum League,9800,513,2023-02-10,17300.0,Quarter-Finals,2,28,Hera,2407,3,51,Villese,2333,1
Nili's Apartment Cup 4,10029,536,2023-03-17,52283.0,Quarter-Finals,2,31,TaToH,2360,3,19,Yo,2363,4
Nili's Apartment Cup 4,10035,536,2023-03-17,52283.0,Quarter-Finals,2,51,Villese,2332,3,29,TheViper,2359,4
King of the Desert 5,10600,561,2023-05-25,80000.0,Quarter-Finals,2,12,Sitaux,2336,0,24,MbL,2264,4
King of the Desert 5,10601,561,2023-05-25,80000.0,Quarter-Finals,2,29,TheViper,2369,4,35,vivi,2252,0
King of the Desert 5,10603,561,2023-05-26,80000.0,Quarter-Finals,2,19,Yo,2361,4,31,TaToH,2352,1
King of the Desert 5,10608,561,2023-05-26,80000.0,Quarter-Finals,2,28,Hera,2440,4,55,Vinchester,2307,2
Brain Champion Cup 3: first stage,11764,603,2010-03-02,11400.0,Quarter-Finals,2,33,Tim,2081,4,108,poZ_cloud,1989,3
Brain Champion Cup 3: first stage,11765,603,2010-02-21,11400.0,Quarter-Finals,2,178,BlinG,2063,0,148,Ra,1958,0
Brain Champion Cup 3: first stage,11766,603,2010-02-27,11400.0,Quarter-Finals,2,1,DauT,2188,3,1415,DayDream,1997,0
Brain Champion Cup 3: first stage,11767,603,2010-02-21,11400.0,Quarter-Finals,2,4,dogao,2004,0,1521,KaiBa,1900,0
Brain Champion Cup 3: first stage,11768,603,2010-02-21,11400.0,Quarter-Finals,2,82,WraTh_,2055,0,1523,CROW_DouG_,1900,0
Brain Champion Cup 3: first stage,11769,603,2010-02-23,11400.0,Quarter-Finals,2,60,Chris,2106,3,176,Cain,2028,4
Brain Champion Cup 3: first stage,11770,603,2010-02-27,11400.0,Quarter-Finals,2,145,Ding,2130,0,3,RiuT,2060,3
Brain Champion Cup 3: first stage,11771,603,2010-02-21,11400.0,Quarter-Finals,2,30,JorDan_23,2026,0,177,CHe_,2004,0
Brain Champion Cup 3: first stage,11772,603,2010-03-01,11400.0,Quarter-Finals,2,259,2scareD,1995,3,1174,Falcao,1894,1
Brain Champion Cup 3: first stage,11773,603,2010-02-24,11400.0,Quarter-Finals,2,1531,FolkSoul,1904,0,451,31_,1904,3
Brain Champion Cup 3: first stage,11774,603,2010-02-25,11400.0,Quarter-Finals,2,450,Avril_,1911,3,307,All__,1967,0
Brain Champion Cup 3: first stage,11775,603,2010-02-20,11400.0,Quarter-Finals,2,262,Cyclops,1998,4,516,Air_feeling,2012,3
Brain Champion Cup 3: first stage,11776,603,2010-02-21,11400.0,Quarter-Finals,2,142,Alive,2034,3,168,Ruso,2131,1
Brain Champion Cup 3: first stage,11777,603,2010-02-28,11400.0,Quarter-Finals,2,452,Andrew_LK,1900,3,144,Funito,1960,1
