name,id,tournament_id,prizemoney,Knockout_stage,Knockout_stage_importance,player_1_id,player_1_name,elo_player_1,score_1,player_2_id,player_2_name,elo_player_2,score_2,hidden,s-tier
WSVG Playoffs,208,21,0.0,Group Stage,1,56,8th_wonder,1998,4,90,IamOK,1964,1,False,False
WSVG Playoffs,209,21,0.0,Group Stage,1,90,IamOK,1964,3,7,GoKu,1958,4,False,False
WSVG Playoffs,210,21,0.0,Group Stage,1,7,GoKu,1958,1,56,8th_wonder,1998,4,False,False
WSVG Playoffs,211,21,0.0,Group Stage,1,24,MbL,2264,1,5,F1Re,2146,4,False,False
WSVG Playoffs,212,21,0.0,Group Stage,1,54,yinghua,2023,4,24,MbL,2264,2,False,False
WSVG Playoffs,213,21,0.0,Group Stage,1,5,F1Re,2146,3,54,yinghua,2023,4,False,False
WSVG Playoffs,214,21,0.0,Group Stage,1,31,TaToH,2369,4,42,xiaoxiong,1969,1,False,False
WSVG Playoffs,215,21,0.0,Group Stage,1,84,FeAge,1929,3,31,TaToH,2369,4,False,False
Paladin Cup 1v1,354,32,1000.0,Group Stage,1,14,ACCM,2332,1,20,Paladin,1977,0,False,False
Paladin Cup 1v1,355,32,1000.0,Group Stage,1,14,ACCM,2332,1,51,Villese,2349,0,False,False
Paladin Cup 1v1,356,32,1000.0,Group Stage,1,14,ACCM,2332,0,54,yinghua,2023,1,False,False
Paladin Cup 1v1,357,32,1000.0,Group Stage,1,14,ACCM,2332,0,52,TheMax,2173,1,False,False
Paladin Cup 1v1,358,32,1000.0,Group Stage,1,14,ACCM,2332,1,21,Lyx,2126,0,False,False
Paladin Cup 1v1,359,32,1000.0,Group Stage,1,14,ACCM,2332,0,19,Yo,2354,1,False,False
Paladin Cup 1v1,360,32,1000.0,Group Stage,1,14,ACCM,2332,0,27,Nicov,2288,1,False,False
Paladin Cup 1v1,361,32,1000.0,Group Stage,1,51,Villese,2349,0,27,Nicov,2288,1,False,False
Paladin Cup 1v1,362,32,1000.0,Group Stage,1,51,Villese,2349,0,20,Paladin,1977,1,False,False
Paladin Cup 1v1,363,32,1000.0,Group Stage,1,51,Villese,2349,0,21,Lyx,2126,1,False,False
Paladin Cup 1v1,364,32,1000.0,Group Stage,1,51,Villese,2349,0,19,Yo,2354,1,False,False
Paladin Cup 1v1,365,32,1000.0,Group Stage,1,51,Villese,2349,0,52,TheMax,2173,1,False,False
Paladin Cup 1v1,366,32,1000.0,Group Stage,1,51,Villese,2349,1,54,yinghua,2023,0,False,False
Paladin Cup 1v1,367,32,1000.0,Group Stage,1,51,Villese,2349,0,14,ACCM,2332,1,False,False
Paladin Cup 1v1,368,32,1000.0,Group Stage,1,27,Nicov,2288,1,20,Paladin,1977,0,False,False
Paladin Cup 1v1,369,32,1000.0,Group Stage,1,27,Nicov,2288,1,51,Villese,2349,0,False,False
Paladin Cup 1v1,370,32,1000.0,Group Stage,1,27,Nicov,2288,0,21,Lyx,2126,1,False,False
Paladin Cup 1v1,371,32,1000.0,Group Stage,1,27,Nicov,2288,1,14,ACCM,2332,0,False,False
Paladin Cup 1v1,372,32,1000.0,Group Stage,1,27,Nicov,2288,0,54,yinghua,2023,1,False,False
Paladin Cup 1v1,373,32,1000.0,Group Stage,1,27,Nicov,2288,1,52,TheMax,2173,0,False,False
Paladin Cup 1v1,374,32,1000.0,Group Stage,1,27,Nicov,2288,1,19,Yo,2354,0,False,False
Paladin Cup 1v1,375,32,1000.0,Group Stage,1,52,TheMax,2173,1,20,Paladin,1977,0,False,False
Paladin Cup 1v1,376,32,1000.0,Group Stage,1,52,TheMax,2173,1,21,Lyx,2126,0,False,False
Paladin Cup 1v1,377,32,1000.0,Group Stage,1,52,TheMax,2173,1,51,Villese,2349,0,False,False
Paladin Cup 1v1,378,32,1000.0,Group Stage,1,52,TheMax,2173,0,19,Yo,2354,1,False,False
Paladin Cup 1v1,379,32,1000.0,Group Stage,1,52,TheMax,2173,0,27,Nicov,2288,1,False,False
